onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0308	0.9675	4	2	7	1	n03770679_1063.JPEG	imagenet	6.0308	6.9982	2	1.3167	n03770679_1063.JPEG
16.0061	1.0009	4	2	7	2	COCO_train2014_000000280808.jpg	coco	16.0061	17.0070	2	1.2686	COCO_train2014_000000280808.jpg
25.9977	1.0008	4	2	7	3	COCO_train2014_000000319517.jpg	coco	25.9977	26.9986	2	1.4313	COCO_train2014_000000319517.jpg
36.0080	0.9990	4	2	7	4	n02963159_5955.JPEG	imagenet	36.0080	37.0070	2	1.2550	n02963159_5955.JPEG
45.9979	1.0008	4	2	7	5	n03958227_7647.JPEG	imagenet	45.9979	46.9987	3	1.3832	n03958227_7647.JPEG
56.0078	0.9993	4	2	7	6	n02028035_1596.JPEG	imagenet	56.0078	57.0071	1	1.2786	n02028035_1596.JPEG
65.9980	1.0008	4	2	7	7	COCO_train2014_000000225383.jpg	rep_coco	65.9980	66.9988	2	1.1186	COCO_train2014_000000225383.jpg
76.0071	1.0001	4	2	7	8	warehouse4.jpg	scenes	76.0071	77.0072	2	1.1908	warehouse4.jpg
85.9981	1.0008	4	2	7	9	n02655020_8762.JPEG	imagenet	85.9981	86.9989	1	1.2866	n02655020_8762.JPEG
96.0070	1.0003	4	2	7	10	n02190166_7731.JPEG	imagenet	96.0070	97.0073	2	1.2625	n02190166_7731.JPEG
105.9983	1.0008	4	2	7	11	COCO_train2014_000000210751.jpg	coco	105.9983	106.9990	1	1.5904	COCO_train2014_000000210751.jpg
116.0073	1.0002	4	2	7	12	COCO_train2014_000000028367.jpg	coco	116.0073	117.0074	1	1.3503	COCO_train2014_000000028367.jpg
125.9984	1.0008	4	2	7	13	parkinggarage.jpg	scenes	125.9984	126.9992	2	1.3102	parkinggarage.jpg
136.0077	0.9999	4	2	7	14	harbor7.jpg	scenes	136.0077	137.0075	1	1.2704	harbor7.jpg
145.9984	1.0009	4	2	7	15	COCO_train2014_000000130914.jpg	coco	145.9984	146.9993	3	1.2699	COCO_train2014_000000130914.jpg
156.0072	1.0004	4	2	7	16	n02071294_21700.JPEG	imagenet	156.0072	157.0077	1	1.4219	n02071294_21700.JPEG
165.9986	1.0008	4	2	7	17	n04522168_22352.JPEG	imagenet	165.9986	166.9994	1	1.3096	n04522168_22352.JPEG
176.0070	1.0008	4	2	7	18	dentist1.jpg	scenes	176.0070	177.0078	1	1.4695	dentist1.jpg
185.9987	1.0008	4	2	7	19	n01806143_7550.JPEG	imagenet	185.9987	186.9995	1	1.3014	n01806143_7550.JPEG
196.0071	1.0008	4	2	7	20	COCO_train2014_000000524819.jpg	coco	196.0071	197.0079	2	1.3653	COCO_train2014_000000524819.jpg
205.9988	1.0008	4	2	7	21	COCO_train2014_000000491228.jpg	coco	205.9988	206.9996	2	1.1652	COCO_train2014_000000491228.jpg
216.0072	1.0008	4	2	7	22	garbagedump4.jpg	scenes	216.0072	217.0080	3	1.2211	garbagedump4.jpg
225.9989	1.0008	4	2	7	23	dining_car.jpg	rep_scenes	225.9989	226.9997	2	1.2849	dining_car.jpg
236.0074	1.0007	4	2	7	24	COCO_train2014_000000040685.jpg	coco	236.0074	237.0081	1	1.2608	COCO_train2014_000000040685.jpg
245.9990	1.0008	4	2	7	25	COCO_train2014_000000422473.jpg	coco	245.9990	246.9998	1	1.3088	COCO_train2014_000000422473.jpg
256.0074	1.0008	4	2	7	26	n01978455_6994.JPEG	imagenet	256.0074	257.0083	1	1.5645	n01978455_6994.JPEG
265.9991	1.0008	4	2	7	27	n02950826_22506.JPEG	imagenet	265.9991	267.0000	3	1.2044	n02950826_22506.JPEG
276.0076	1.0008	4	2	7	28	campsite3.jpg	scenes	276.0076	277.0083	2	1.4444	campsite3.jpg
285.9993	1.0008	4	2	7	29	COCO_train2014_000000294744.jpg	coco	285.9993	287.0001	2	1.3322	COCO_train2014_000000294744.jpg
296.0076	1.0008	4	2	7	30	desertvegetation5.jpg	scenes	296.0076	297.0085	1	1.3881	desertvegetation5.jpg
305.9994	1.0008	4	2	7	31	n03706229_5674.JPEG	imagenet	305.9994	307.0002	2	1.6120	n03706229_5674.JPEG
316.0078	1.0008	4	2	7	32	n04447861_7728.JPEG	imagenet	316.0078	317.0086	2	1.0166	n04447861_7728.JPEG
325.9995	1.0008	4	2	7	33	COCO_train2014_000000366146.jpg	coco	325.9995	327.0003	1	1.4117	COCO_train2014_000000366146.jpg
336.0079	1.0008	4	2	7	34	COCO_train2014_000000292678.jpg	coco	336.0079	337.0087	2	1.2516	COCO_train2014_000000292678.jpg
345.9995	1.0009	4	2	7	35	COCO_train2014_000000307156.jpg	coco	345.9995	347.0004	2	1.2755	COCO_train2014_000000307156.jpg
356.0080	1.0008	4	2	7	36	COCO_train2014_000000095258.jpg	coco	356.0080	357.0088	2	1.3154	COCO_train2014_000000095258.jpg
365.9997	1.0008	4	2	7	37	n02447366_24047.JPEG	rep_imagenet	365.9997	367.0005	1	1.3633	n02447366_24047.JPEG
