onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0308	0.9675	1	1	2	1	n02948072_4353.JPEG	imagenet	6.0308	6.9983	1	1.8560	n02948072_4353.JPEG
16.0062	1.0008	1	1	2	2	n02219486_30442.JPEG	imagenet	16.0062	17.0070	3	4.5992	n02219486_30442.JPEG
25.9978	1.0008	1	1	2	3	COCO_train2014_000000455486.jpg	coco	25.9978	26.9986	2	4.6252	COCO_train2014_000000455486.jpg
36.0062	1.0008	1	1	2	4	COCO_train2014_000000042861.jpg	coco	36.0062	37.0070	1	3.0171	COCO_train2014_000000042861.jpg
45.9979	1.0008	1	1	2	5	n03249569_23070.JPEG	imagenet	45.9979	46.9987	3	2.3294	n03249569_23070.JPEG
56.0080	0.9991	1	1	2	6	coralreef3.jpg	scenes	56.0080	57.0071	1	1.3934	coralreef3.jpg
65.9980	1.0008	1	1	2	7	n02096585_8512.JPEG	imagenet	65.9980	66.9988	1	1.7452	n02096585_8512.JPEG
76.0078	0.9994	1	1	2	8	COCO_train2014_000000273559.jpg	coco	76.0078	77.0072	2	4.3770	COCO_train2014_000000273559.jpg
85.9981	1.0008	1	1	2	9	n03857828_46491.JPEG	imagenet	85.9981	86.9989	3	2.8729	n03857828_46491.JPEG
96.0076	0.9997	1	1	2	10	n02510455_1670.JPEG	imagenet	96.0076	97.0073	1	1.7529	n02510455_1670.JPEG
105.9982	1.0008	1	1	2	11	COCO_train2014_000000307475.jpg	coco	105.9982	106.9990	2	3.4727	COCO_train2014_000000307475.jpg
116.0082	0.9992	1	1	2	12	n03594945_19394.JPEG	imagenet	116.0082	117.0074	2	5.7846	n03594945_19394.JPEG
125.9984	1.0008	1	1	2	13	COCO_train2014_000000136338.jpg	coco	125.9984	126.9991	2	2.8485	COCO_train2014_000000136338.jpg
136.0079	0.9996	1	1	2	14	n01917289_1562.JPEG	imagenet	136.0079	137.0075	1	1.8724	n01917289_1562.JPEG
145.9985	1.0010	1	1	2	15	livingroom4.jpg	scenes	145.9985	146.9995	1	2.2322	livingroom4.jpg
156.0082	0.9995	1	1	2	16	COCO_train2014_000000048201.jpg	coco	156.0082	157.0077	1	1.8242	COCO_train2014_000000048201.jpg
165.9985	1.0008	1	1	2	17	COCO_train2014_000000319611.jpg	coco	165.9985	166.9994	1	1.9040	COCO_train2014_000000319611.jpg
176.0081	0.9997	1	1	2	18	fireplace3.jpg	scenes	176.0081	177.0077	1	1.9279	fireplace3.jpg
185.9987	1.0008	1	1	2	19	n01694178_1343.JPEG	imagenet	185.9987	186.9995	1	1.5998	n01694178_1343.JPEG
196.0070	1.0009	1	1	2	20	savanna4.jpg	scenes	196.0070	197.0079	1	2.1596	savanna4.jpg
205.9988	1.0008	1	1	2	21	COCO_train2014_000000191734.jpg	rep_coco	205.9988	206.9996	3	1.6234	COCO_train2014_000000191734.jpg
216.0071	1.0008	1	1	2	22	chemicalplant1.jpg	scenes	216.0071	217.0080	3	1.6553	chemicalplant1.jpg
225.9989	1.0008	1	1	2	23	COCO_train2014_000000035927.jpg	coco	225.9989	226.9997	1	1.8073	COCO_train2014_000000035927.jpg
236.0079	1.0002	1	1	2	24	n02457408_8048.JPEG	imagenet	236.0079	237.0081	1	1.4632	n02457408_8048.JPEG
245.9990	1.0008	1	1	2	25	COCO_train2014_000000395740.jpg	coco	245.9990	246.9998	1	2.8230	COCO_train2014_000000395740.jpg
256.0075	1.0006	1	1	2	26	COCO_train2014_000000116603.jpg	rep_coco	256.0075	257.0082	2	3.2309	COCO_train2014_000000116603.jpg
265.9991	1.0008	1	1	2	27	n03763968_3541.JPEG	imagenet	265.9991	266.9999	3	1.8148	n03763968_3541.JPEG
276.0079	1.0004	1	1	2	28	nailsalon2.jpg	scenes	276.0079	277.0083	2	4.0946	nailsalon2.jpg
285.9992	1.0008	1	1	2	29	n03866082_8143.JPEG	imagenet	285.9992	287.0000	1	5.5345	n03866082_8143.JPEG
296.0080	1.0004	1	1	2	30	n01689811_365.JPEG	imagenet	296.0080	297.0084	2	1.7664	n01689811_365.JPEG
305.9993	1.0008	1	1	2	31	COCO_train2014_000000001496.jpg	coco	305.9993	307.0001	3	2.2862	COCO_train2014_000000001496.jpg
316.0079	1.0006	1	1	2	32	COCO_train2014_000000425712.jpg	coco	316.0079	317.0085	3	2.3981	COCO_train2014_000000425712.jpg
325.9994	1.0008	1	1	2	33	COCO_train2014_000000201246.jpg	coco	325.9994	327.0002	3	2.8300	COCO_train2014_000000201246.jpg
336.0078	1.0008	1	1	2	34	doctor1.jpg	scenes	336.0078	337.0086	2	3.7419	doctor1.jpg
345.9995	1.0008	1	1	2	35	COCO_train2014_000000118087.jpg	coco	345.9995	347.0003	2	3.9338	COCO_train2014_000000118087.jpg
356.0079	1.0008	1	1	2	36	n01531178_2651.JPEG	imagenet	356.0079	357.0087	1	1.6377	n01531178_2651.JPEG
365.9996	1.0008	1	1	2	37	COCO_train2014_000000275335.jpg	coco	365.9996	367.0004	3	4.1575	COCO_train2014_000000275335.jpg
