onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0302	0.9675	1	5	8	1	COCO_train2014_000000409069.jpg	coco	6.0302	6.9976	2	1.4078	COCO_train2014_000000409069.jpg
16.0055	1.0008	1	5	8	2	COCO_train2014_000000569678.jpg	coco	16.0055	17.0063	2	1.4077	COCO_train2014_000000569678.jpg
25.9972	1.0008	1	5	8	3	n02834397_10231.JPEG	imagenet	25.9972	26.9980	3	2.1380	n02834397_10231.JPEG
36.0057	1.0006	1	5	8	4	n04116512_2215.JPEG	imagenet	36.0057	37.0064	1	1.8975	n04116512_2215.JPEG
45.9973	1.0008	1	5	8	5	n09421951_6349.JPEG	imagenet	45.9973	46.9981	1	1.4496	n09421951_6349.JPEG
56.0060	1.0005	1	5	8	6	COCO_train2014_000000148634.jpg	coco	56.0060	57.0065	1	1.8420	COCO_train2014_000000148634.jpg
65.9974	1.0008	1	5	8	7	n02417914_4562.JPEG	imagenet	65.9974	66.9982	1	1.2818	n02417914_4562.JPEG
76.0060	1.0005	1	5	8	8	n01872401_3344.JPEG	imagenet	76.0060	77.0066	1	1.3776	n01872401_3344.JPEG
85.9975	1.0008	1	5	8	9	liquorstore7.jpg	scenes	85.9975	86.9983	2	1.8175	liquorstore7.jpg
96.0059	1.0008	1	5	8	10	labClass1.jpg	scenes	96.0059	97.0067	3	2.5135	labClass1.jpg
105.9977	1.0008	1	5	8	11	COCO_train2014_000000143420.jpg	coco	105.9977	106.9984	1	1.8493	COCO_train2014_000000143420.jpg
116.0077	0.9991	1	5	8	12	n01580077_8319.JPEG	imagenet	116.0077	117.0068	1	1.4252	n01580077_8319.JPEG
125.9977	1.0008	1	5	8	13	concerthall6.jpg	scenes	125.9977	126.9985	1	1.5770	concerthall6.jpg
136.0066	1.0003	1	5	8	14	COCO_train2014_000000335824.jpg	coco	136.0066	137.0069	2	1.3769	COCO_train2014_000000335824.jpg
145.9978	1.0008	1	5	8	15	n04356056_8602.JPEG	imagenet	145.9978	146.9986	3	3.9528	n04356056_8602.JPEG
156.0078	0.9993	1	5	8	16	COCO_train2014_000000016898.jpg	coco	156.0078	157.0071	2	2.2966	COCO_train2014_000000016898.jpg
165.9979	1.0008	1	5	8	17	COCO_train2014_000000127986.jpg	coco	165.9979	166.9988	2	1.5285	COCO_train2014_000000127986.jpg
176.0063	1.0008	1	5	8	18	hotellobby2.jpg	scenes	176.0063	177.0071	1	1.6085	hotellobby2.jpg
185.9980	1.0008	1	5	8	19	COCO_train2014_000000228565.jpg	coco	185.9980	186.9988	1	1.5523	COCO_train2014_000000228565.jpg
196.0075	0.9997	1	5	8	20	n04228054_1886.JPEG	imagenet	196.0075	197.0073	2	1.4402	n04228054_1886.JPEG
205.9981	1.0009	1	5	8	21	n13040303_7350.JPEG	imagenet	205.9981	206.9990	3	2.2480	n13040303_7350.JPEG
216.0078	0.9996	1	5	8	22	n02268853_630.JPEG	imagenet	216.0078	217.0074	1	1.4639	n02268853_630.JPEG
225.9983	1.0008	1	5	8	23	COCO_train2014_000000282032.jpg	coco	225.9983	226.9991	2	4.5837	COCO_train2014_000000282032.jpg
236.0083	0.9992	1	5	8	24	COCO_train2014_000000061174.jpg	coco	236.0083	237.0075	1	1.6316	COCO_train2014_000000061174.jpg
245.9984	1.0008	1	5	8	25	COCO_train2014_000000290192.jpg	coco	245.9984	246.9992	3	6.4234	COCO_train2014_000000290192.jpg
256.0076	1.0000	1	5	8	26	n03208938_19796.JPEG	imagenet	256.0076	257.0076	2	2.6314	n03208938_19796.JPEG
265.9985	1.0008	1	5	8	27	n03187595_5162.JPEG	imagenet	265.9985	266.9993	2	3.6713	n03187595_5162.JPEG
276.0078	1.0000	1	5	8	28	courtroom3.jpg	scenes	276.0078	277.0077	2	3.3272	courtroom3.jpg
285.9986	1.0008	1	5	8	29	frontLawn5.jpg	scenes	285.9986	286.9994	3	3.3510	frontLawn5.jpg
296.0076	1.0002	1	5	8	30	n04557648_12671.JPEG	imagenet	296.0076	297.0078	2	3.5669	n04557648_12671.JPEG
305.9987	1.0008	1	5	8	31	COCO_train2014_000000242631.jpg	rep_coco	305.9987	306.9995	3	2.6148	COCO_train2014_000000242631.jpg
316.0080	0.9999	1	5	8	32	skatepark.jpg	scenes	316.0080	317.0079	3	2.5827	skatepark.jpg
325.9988	1.0008	1	5	8	33	COCO_train2014_000000033727.jpg	coco	325.9988	326.9996	2	1.5347	COCO_train2014_000000033727.jpg
336.0076	1.0004	1	5	8	34	COCO_train2014_000000300072.jpg	rep_coco	336.0076	337.0080	2	2.3664	COCO_train2014_000000300072.jpg
345.9989	1.0009	1	5	8	35	COCO_train2014_000000331607.jpg	coco	345.9989	346.9997	2	1.5503	COCO_train2014_000000331607.jpg
356.0074	1.0007	1	5	8	36	n02102318_14888.JPEG	imagenet	356.0074	357.0081	1	1.5902	n02102318_14888.JPEG
365.9991	1.0008	1	5	8	37	COCO_train2014_000000359033.jpg	coco	365.9991	366.9999	3	3.3661	COCO_train2014_000000359033.jpg
