onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0248	0.9844	1	6	4	1	COCO_train2014_000000197401.jpg	coco	6.0248	7.0092	1	1.4517
16.0001	1.0009	1	6	4	2	minigolf2.jpg	scenes	16.0001	17.0010	1	2.1898
26.0092	1.0001	1	6	4	3	waitingroom4.jpg	scenes	26.0092	27.0093	3	5.7124
36.0002	1.0008	1	6	4	4	COCO_train2014_000000355458.jpg	coco	36.0002	37.0010	3	1.6480
46.0087	1.0007	1	6	4	5	n04392985_14385.JPEG	imagenet	46.0087	47.0094	2	2.5683
56.0003	1.0008	1	6	4	6	COCO_train2014_000000150559.jpg	coco	56.0003	57.0011	1	3.2159
66.0091	1.0004	1	6	4	7	COCO_train2014_000000056109.jpg	coco	66.0091	67.0095	2	5.5281
76.0004	1.0008	1	6	4	8	COCO_train2014_000000502470.jpg	coco	76.0004	77.0013	1	3.8000
86.0093	1.0003	1	6	4	9	COCO_train2014_000000304440.jpg	coco	86.0093	87.0097	1	3.1518
96.0005	1.0008	1	6	4	10	apartmentBuilding2.jpg	scenes	96.0005	97.0014	3	1.5118
106.0090	1.0008	1	6	4	11	COCO_train2014_000000492648.jpg	coco	106.0090	107.0098	2	1.7437
116.0007	1.0008	1	6	4	12	COCO_train2014_000000566214.jpg	coco	116.0007	117.0015	1	3.5676
126.0091	1.0008	1	6	4	13	n02094433_1834.JPEG	imagenet	126.0091	127.0099	1	1.2955
136.0007	1.0009	1	6	4	14	n03692522_3393.JPEG	imagenet	136.0007	137.0016	2	5.3752
146.0092	1.0008	1	6	4	15	COCO_train2014_000000379052.jpg	coco	146.0092	147.0100	1	1.3672
156.0009	1.0009	1	6	4	16	COCO_train2014_000000334700.jpg	coco	156.0009	157.0017	2	1.5191
166.0093	1.0008	1	6	4	17	n04243546_28394.JPEG	imagenet	166.0093	167.0101	3	2.8389
176.0010	1.0008	1	6	4	18	n01847000_14760.JPEG	imagenet	176.0010	177.0018	1	3.2148
186.0095	1.0008	1	6	4	19	n02096437_2999.JPEG	imagenet	186.0095	187.0102	1	1.0467
196.0011	1.0008	1	6	4	20	COCO_train2014_000000274108.jpg	coco	196.0011	197.0020	2	5.0145
206.0096	1.0008	1	6	4	21	COCO_train2014_000000331203.jpg	coco	206.0096	207.0104	2	1.9025
216.0012	1.0009	1	6	4	22	COCO_train2014_000000065769.jpg	coco	216.0012	217.0021	2	4.7583
226.0097	1.0008	1	6	4	23	n03781244_9830.JPEG	imagenet	226.0097	227.0105	2	2.8782
236.0014	1.0008	1	6	4	24	driveway6.jpg	rep_scenes	236.0014	237.0022	3	2.1901
246.0098	1.0008	1	6	4	25	n03877845_719.JPEG	imagenet	246.0098	247.0106	3	4.8779
256.0015	1.0008	1	6	4	26	n02363005_12005.JPEG	imagenet	256.0015	257.0023	1	1.7660
266.0099	1.0008	1	6	4	27	HorseRaceTrack.jpg	scenes	266.0099	267.0107	3	2.8858
276.0016	1.0008	1	6	4	28	n04019541_4621.JPEG	rep_imagenet	276.0016	277.0024	2	1.9257
286.0100	1.0008	1	6	4	29	n04235860_9783.JPEG	imagenet	286.0100	287.0108	1	2.1335
296.0018	1.0008	1	6	4	30	n02090721_284.JPEG	imagenet	296.0018	297.0025	1	1.3655
306.0101	1.0008	1	6	4	31	n02093859_1318.JPEG	imagenet	306.0101	307.0109	1	1.3814
316.0018	1.0008	1	6	4	32	bar9.jpg	scenes	316.0018	317.0026	1	2.5812
326.0102	0.9844	1	6	4	33	fittingroom4.jpg	scenes	326.0102	326.9947	2	5.9251
336.0019	1.0008	1	6	4	34	greenmountains.jpg	scenes	336.0019	337.0028	1	1.3570
346.0103	0.9842	1	6	4	35	n02114712_16224.JPEG	imagenet	346.0103	346.9945	1	1.4609
356.0020	1.0009	1	6	4	36	COCO_train2014_000000139817.jpg	coco	356.0020	357.0029	2	1.9568
366.0104	0.9841	1	6	4	37	COCO_train2014_000000125703.jpg	coco	366.0104	366.9945	1	1.4126
